4716,Darren Aronofsky
995,Ellen Burstyn
1467,Jared Leto
124,Jennifer Connelly
881279,Lee Unkrich
5124,John Lasseter
4056,Andrew Stanton
881279,Lee Unkrich
158,Tom Hanks
741,Tim Allen
349,Joan Cusack
1396121,Makoto Shinkai
1396121,Makoto Shinkai
1038805,Clark Cheng
1126340,Ryûnosuke Kamiki
4759838,Mone Kamishiraishi
6954008,Ryô Narita
2045,Stanley Donen
37,Gene Kelly
173679,Betty Comden
337582,Adolph Green
37,Gene Kelly
640307,Donald O'Connor
1666,Debbie Reynolds
386246,Rajkumar Hirani
386246,Rajkumar Hirani
430785,Abhijat Joshi
6765,Vidhu Vinod Chopra
451148,Aamir Khan
534856,Madhavan
1587175,Mona Singh
549658,Richard Marquand
1410,Lawrence Kasdan
184,George Lucas
434,Mark Hamill
148,Harrison Ford
402,Carrie Fisher
40,Stanley Kubrick
40,Stanley Kubrick
2009,Arthur C. Clarke
1158,Keir Dullea
516972,Gary Lockwood
843213,William Sylvester
327273,Michel Gondry
442109,Charlie Kaufman
327273,Michel Gondry
1410028,Pierre Bismuth
120,Jim Carrey
701,Kate Winslet
929489,Tom Wilkinson
233,Quentin Tarantino
233,Quentin Tarantino
812,Roger Avary
172,Harvey Keitel
619,Tim Roth
514,Michael Madsen
41,Akira Kurosawa
644823,Hideo Oguni
452878,Ryûzô Kikushima
386750,Eijirô Hisaita
1536,Toshirô Mifune
755403,Yutaka Sada
619938,Tatsuya Nakadai
1701024,Nadine Labaki
1701024,Nadine Labaki
2764802,Jihad Hojeily
9878616,Michelle Keserwany
9862858,Zain Al Rafeea
9862859,Yordanos Shiferaw
9862860,Boluwatife Treasure Bankole
80,Orson Welles
542534,Herman J. Mankiewicz
80,Orson Welles
2144,John Houseman
80,Orson Welles
1072,Joseph Cotten
173827,Dorothy Comingore
180,David Lean
4122,Robert Bolt
933858,Michael Wilson
564,Peter O'Toole
27,Alec Guinness
63,Anthony Quinn
899121,Thomas Vinterberg
2105585,Tobias Lindholm
899121,Thomas Vinterberg
586568,Mads Mikkelsen
488917,Thomas Bo Larsen
5038871,Annika Wedderkopp
33,Alfred Hitchcock
499626,Ernest Lehman
26,Cary Grant
1693,Eva Marie Saint
51,James Mason
485,Fritz Lang
902376,Thea von Harbou
485,Fritz Lang
414825,Egon Jacobsohn
48,Peter Lorre
927145,Ellen Widmann
484737,Inge Landgut
33,Alfred Hitchcock
178785,Alec Coppel
853138,Samuel A. Taylor
92267,Pierre Boileau
71,James Stewart
1571,Kim Novak
895,Barbara Bel Geddes
466,Jean-Pierre Jeunet
491011,Guillaume Laurant
466,Jean-Pierre Jeunet
851582,Audrey Tautou
440913,Mathieu Kassovitz
749363,Rufus
40,Stanley Kubrick
40,Stanley Kubrick
121256,Anthony Burgess
532,Malcolm McDowell
535861,Patrick Magee
60988,Michael Bates
459552,Elem Klimov
10696,Ales Adamovich
459552,Elem Klimov
470385,Aleksey Kravchenko
592500,Olga Mironova
490708,Liubomiras Laucevicius
40,Stanley Kubrick
40,Stanley Kubrick
380282,Michael Herr
368007,Gustav Hasford
546,Matthew Modine
388,R. Lee Ermey
352,Vincent D'Onofrio
697,Billy Wilder
697,Billy Wilder
151452,Raymond Chandler
128906,James M. Cain
534045,Fred MacMurray
1766,Barbara Stanwyck
64,Edward G. Robinson
697,Billy Wilder
697,Billy Wilder
224634,I.A.L. Diamond
493,Jack Lemmon
511,Shirley MacLaine
534045,Fred MacMurray
361,Brian De Palma
231,Oliver Stone
1328,Howard Hawks
372942,Ben Hecht
199,Al Pacino
201,Michelle Pfeiffer
874,Steven Bauer
41,Akira Kurosawa
41,Akira Kurosawa
368074,Shinobu Hashimoto
644823,Hideo Oguni
793766,Takashi Shimura
437520,Nobuo Kaneko
385443,Shin'ichi Himori
1351,George Roy Hill
911486,David S. Ward
56,Paul Newman
602,Robert Redford
1727,Robert Shaw
612322,Robert Mulligan
497369,Harper Lee
285210,Horton Foote
60,Gregory Peck
576345,John Megna
653942,Frank Overton
217,Martin Scorsese
1707,Paul Schrader
134,Robert De Niro
149,Jodie Foster
1732,Cybill Shepherd
436,Curtis Hanson
255278,James Ellroy
1338,Brian Helgeland
436,Curtis Hanson
228,Kevin Spacey
128,Russell Crowe
